"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1641","test_continue_shopping_from_cart_returns_to_products","test_cases","2026-06-15","passed","2026-06-15","","test_continue_shopping","",""
"","1265","test_sort_by_price_low_to_high","test_cases","2026-06-15","broken","2026-06-15","","test_sort_by_price_low_to_high","",""
"","2004","test_checkout_can_finish_order","test_cases","2026-06-15","failed","2026-06-15","","test_checkout_flow","",""
"","1399","test_login_success","test_cases","2026-06-15","passed","2026-06-15","","test_login","",""
"","1445","test_open_cart_shows_added_item","test_cases","2026-06-15","passed","2026-06-15","","test_open_cart","",""
"","2122","test_logout_returns_to_login_page","test_cases","2026-06-15","passed","2026-06-15","","test_logout","",""
"","27594","test_login_excel","test_cases","2026-06-15","passed","2026-06-15","","test_login_excel","",""
"","1232","test_login_with_wrong_credentials_shows_error","test_cases","2026-06-15","passed","2026-06-15","","test_wrong_login","",""
"","1498","test_add_to_cart_updates_cart_badge","test_cases","2026-06-15","failed","2026-06-15","","test_add_to_cart","",""
"","1516","test_remove_from_cart_returns_button_to_add","test_cases","2026-06-15","passed","2026-06-15","","test_remove_from_cart","",""
